size,mean
0.70737,1.737
0.52242,1.735
0.52242,1.737
0.52242,1.748
0.65284,1.742
0.67153,1.74
0.62889,1.737
0.63595,1.743
0.65538,1.729
2.5864,1.739
0.65797,1.724
0.92079,1.735
1.13325,1.734
2.01797,1.746
0.73236,1.738
0.53406,1.724
0.53406,1.756
0.53406,1.719
0.67558,1.743
0.6918,1.727
0.64831,1.749
0.65698,1.742
0.68097,1.763
2.65875,1.736
0.67454,1.726
0.95765,1.713
1.21562,1.743
2.07864,1.751
0.75922,1.747
0.5447,1.737
0.5447,1.75
0.5447,1.738
0.69997,1.73
0.71688,1.733
0.66544,1.735
0.67135,1.748
0.70011,1.739
2.70102,1.732
0.69355,1.746
0.99011,1.739
1.26256,1.724
2.17035,1.728
0.78408,1.739
0.55054,1.737
0.55054,1.733
0.55054,1.748
0.71028,1.737
0.73563,1.738
0.67723,1.742
0.68185,1.729
0.71602,1.746
2.72617,1.723
0.70318,1.748
1.03097,1.733
1.31679,1.72
2.27194,1.738
0.81358,1.728
0.55161,1.729
0.55161,1.734
0.55161,1.73
0.74607,1.742
0.75589,1.733
0.65156,1.744
0.65818,1.753
0.74531,1.742
1.59333,1.724
0.6686,1.731
1.06636,1.734
1.3746,1.728
2.21179,1.735
0.84236,1.749
0.48793,1.734
0.48793,1.745
0.48793,1.729
0.75822,1.757
0.78169,1.729
0.72064,1.733
0.7276,1.722
0.75544,1.743
2.91076,1.744
0.75249,1.754
1.10331,1.747
1.4276,1.726
2.4083,1.733
0.86983,1.738
0.5881,1.742
0.5881,1.716
0.5881,1.75
0.78311,1.72
0.80486,1.733
0.75194,1.728
0.76141,1.734
0.78151,1.742
3.007,1.734
0.78549,1.736
1.14627,1.746
1.47319,1.733
2.50642,1.719
0.89967,1.737
0.6208,1.729
0.6208,1.729
0.6208,1.745
0.81911,1.737
0.8288,1.742
0.78809,1.748
0.79405,1.74
0.80125,1.754
3.12503,1.728
0.81942,1.739
1.17711,1.727
1.53506,1.734
2.59483,1.745
0.92726,1.748
0.65869,1.722
0.65869,1.736
0.65869,1.748
0.83149,1.743
0.84984,1.738
0.81028,1.737
0.8209,1.76
0.82414,1.726
3.1874,1.741
0.84747,1.742
1.22226,1.72
1.54231,1.741
2.68304,1.744
0.95366,1.733
0.68491,1.746
0.68491,1.739
0.68491,1.759
0.87208,1.725
0.87558,1.735
0.8458,1.735
0.85676,1.736
0.84309,1.73
3.23876,1.736
0.88468,1.737
1.2597,1.727
1.64143,1.737
2.75789,1.717
0.98532,1.735
0.71827,1.73
0.71827,1.741
0.71827,1.728
0.88401,1.73
0.89951,1.742
0.86986,1.735
0.88116,1.727
0.86768,1.721
3.37784,1.722
0.9129,1.737
1.30175,1.724
1.70296,1.734
2.87377,1.741
1.01249,1.726
0.74679,1.724
0.74679,1.736
0.74679,1.738
0.92792,1.724
0.92666,1.727
0.89795,1.735
0.91272,1.737
0.88501,1.744
3.42036,1.731
0.93986,1.731
1.3447,1.752
1.75341,1.742
2.96891,1.728
1.04105,1.728
0.77193,1.775
0.77193,1.732
0.77193,1.727
0.93339,1.718
0.94906,1.73
0.92118,1.741
0.94224,1.733
0.90731,1.724
3.4497,1.763
0.96834,1.748
1.38149,1.713
1.82054,1.956
3.05574,1.942
1.07175,1.88
0.7961,1.81
0.7961,1.774
0.7961,1.776
0.97293,1.845
0.97303,1.638
0.94116,1.887
0.96243,1.838
0.92629,1.768
3.58933,1.531
0.98988,1.698
1.42703,1.816
1.87823,1.891
3.12498,1.825
1.09945,1.762
0.81412,1.913
0.81412,1.866
0.81412,1.82
0.98002,1.885
0.99619,1.872
0.95996,1.822
0.98536,1.848
0.94667,1.848
3.54806,1.814
1.00712,1.804
1.47036,1.801
1.90185,2.021
3.16769,1.813
1.12976,1.788
0.82962,1.744
0.82962,1.862
0.82962,1.793
1.02057,1.905
1.02437,1.77
0.99456,1.714
1.01885,1.865
0.96867,1.68
3.70917,1.744
1.04341,1.857
1.5148,2.08
1.98573,1.903
3.32901,1.919
1.16395,1.925
0.86991,1.81
0.86991,1.928
0.86991,1.818
1.04872,1.909
1.05207,1.894
1.01861,1.829
1.04504,1.899
0.98822,1.898
3.76963,1.892
1.07021,1.889
1.56299,1.879
2.06495,1.854
3.42213,1.901
1.19368,1.779
0.89253,1.769
0.89253,1.83
0.89253,2.006
1.06479,1.806
1.07427,1.63
1.04187,1.845
1.0663,1.937
1.01818,2.002
3.83521,1.901
1.09699,1.912
1.60144,1.835
2.12748,1.851
3.51808,1.844
1.22058,1.843
0.91584,1.851
0.91584,1.859
0.91584,1.84
1.10531,1.909
1.10281,1.86
1.0664,1.865
1.09631,1.858
1.03695,1.838
3.95013,1.852
1.12586,1.855
1.65112,1.867
2.1831,1.851
3.59989,1.866
1.25565,1.873
0.94429,1.85
0.94429,1.853
0.94429,1.848
