,id,mean,size,label,weight
373,374,2084,287377,0,100
374,375,1990,101249,0,100
375,376,2573,74679,1,100
376,377,2495,74679,1,100
377,378,2479,74679,0,100
378,379,3016,92792,1,100
379,380,3144,92666,1,100
380,381,3286,89795,1,100
381,382,3331,91272,1,100
382,383,3345,88501,1,100
383,384,11593,342036,1,100
384,385,3309,93986,1,100
385,386,2133,134470,0,100
386,387,2108,175341,0,100
387,388,2082,296891,0,100
388,389,2004,104105,0,100
389,390,2507,77193,1,100
390,391,2634,77193,1,100
391,392,2578,77193,1,100
392,393,3061,93339,1,100
393,394,3242,94906,1,100
394,395,3356,92118,1,100
395,396,3345,94224,1,100
396,397,3407,90731,1,100
397,398,11828,344970,1,100
398,399,3362,96834,1,100
399,400,2121,138149,0,100
400,401,2131,182054,0,100
401,402,2123,305574,0,100
402,403,2023,107175,0,100
403,404,2545,79610,1,100
404,405,2561,79610,1,100
405,406,2412,79610,1,100
406,407,3227,97293,1,100
407,408,3341,97303,1,100
408,409,3413,94116,1,100
409,410,3520,96243,1,100
410,411,3505,92629,1,100
411,412,12173,358933,1,100
412,413,3455,98988,1,100
413,414,2194,142703,0,100
414,415,2213,187823,0,100
415,416,2214,312498,0,100
416,417,2064,109945,0,100
417,418,2652,81412,1,100
418,419,2649,81412,1,100
419,420,2665,81412,1,100
420,421,3231,98002,1,100
421,422,3316,99619,1,100
422,423,3479,95996,1,100
423,424,3521,98536,1,100
424,425,3598,94667,1,100
425,426,12384,354806,1,100
426,427,3503,100712,1,100
427,428,2164,147036,0,100
428,429,2205,190185,0,100
429,430,2139,316769,0,100
430,431,2060,112976,0,100
431,432,2671,82962,1,100
432,433,2703,82962,1,100
433,434,2662,82962,1,100
434,435,3255,102057,1,100
435,436,3362,102437,1,100
436,437,3535,99456,1,100
437,438,3597,101885,1,100
438,439,3609,96867,1,100
439,440,12689,370917,1,100
440,441,3555,104341,1,100
441,442,2215,151480,0,100
442,443,2222,198573,0,100
443,444,2202,332901,0,100
444,445,2085,116395,0,100
445,446,2688,86991,1,100
446,447,2680,86991,1,100
447,448,2703,86991,1,100
448,449,3315,104872,1,100
449,450,3472,105207,1,100
450,451,3522,101861,1,100
451,452,3622,104504,1,100
452,453,3643,98822,1,100
453,454,13234,376963,1,100
454,455,3634,107021,1,100
455,456,2208,156299,0,100
456,457,2175,206495,0,100
457,458,2238,342213,0,100
458,459,2083,119368,0,100
459,460,2698,89253,1,100
460,461,2696,89253,1,100
